,Name,Class,Archetype 1,Archetype 2,Rarity,Base HP,Base ATK,Base DEF,HP (Max Potential),ATK (Max Potential),DEF (Max Potential),HP (Max Trust),ATK (Max Trust),DEF (Max Trust),Full HP,Full ATK,Full DEF,Resistance,Base Cost,Max Cost,Block Count,Base Redeployment Time (s),Max Redeployment Time (s),Attack Interval (s),Target Number,Damage Type
0,Goldenglow,Caster,Drone,Mech-Accord,6,1480,331,125,1480,356,125,1480,391,125,1480,416,125,20,22,20,1,70,70,1.3, 1,Arts
1,Lee,Specialist,DP-Drain,Merchant,6,2427,789,465,2427,819,465,2727,844,465,2727,874,465,0,9,7,1,25,21,1, 1,Physical
2,Ling,Supporter,Summoner,N/A,6,1079,473,138,1079,497,138,1429,508,138,1429,532,138,20,12,10,1,70,66,1.6, 1,Arts
3,Gnosis,Supporter,Debuffer,Hexer,6,2035,455,132,2035,488,132,2035,535,132,2035,568,132,25,13,11,1,70,66,1.6, 1,Arts
4,Flametail,Vanguard,Skill-DP,Pioneer,6,2138,526,392,2138,551,392,2138,611,392,2138,636,392,0,14,12,2,70,66,1.05, 1,Physical
5,Nearl the Radiant Knight,Guard,Duelist,Dreadnought,6,3550,1064,295,3550,1099,295,3750,1149,295,3750,1184,295,0,19,17,1,70,66,1.5, 1,Physical
6,Fartooth,Sniper,Long-Range,Deadeye,6,1522,1196,163,1522,1236,163,1522,1296,163,1522,1336,163,0,22,20,1,70,66,2.7, 1,Physical
7,Saileach,Vanguard,Flagbearer,Standard Bearer,6,1835,546,367,1835,571,367,1835,586,407,1835,611,407,0,12,10,1,70,66,1.3, 1,Physical
8,Mizuki,Specialist,Ambusher,N/A,6,1758,865,356,1758,897,356,1758,975,356,1758,1007,356,30,21,19,0,70,66,3.5, AoE,Physical
9,Ch'en the Holungday,Sniper,Boomstick,Spreadshooter,6,2501,773,203,2501,806,203,2501,853,203,2501,886,203,0,32,30,1,70,66,2.3, AoE,Physical
10,Pallas,Guard,Support,Instructor,6,1963,687,455,1963,712,455,2263,737,455,2263,762,455,0,17,15,2,70,66,1.05, 1,Physical
11,Carnelian,Caster,Modal,Phalanx Caster,6,2106,846,228,2106,880,228,2106,926,258,2106,960,258,15,24,22,1,70,66,2, AoE,Arts
12,Skadi the Corrupting Heart,Supporter,Aura,Bard,6,1603,368,233,1603,395,233,1603,418,263,1603,445,263,0,8,6,1,70,64,1, 1,Physical
13,Kal'tsit,Medic,ST,Medic,6,1633,490,215,1633,515,215,2033,490,255,2033,515,255,0,20,18,1,70,66,2.85, 1,Healing
14,Gladiia,Specialist,Puller,Hookmaster,6,2309,801,331,2309,801,331,2309,851,381,2309,851,381,0,16,13,2,80,70,1.8, 1,Physical
15,Passenger,Caster,Chain Caster,N/A,6,1558,689,130,1558,721,130,1558,774,130,1558,806,130,20,33,31,1,70,70,2.3, 1,Physical
16,Ash,Sniper,Anti-Air,Marksman,6,1689,534,169,1689,561,169,1689,624,169,1689,651,169,0,14,12,1,70,66,1, 1,Physical
17,Dusk,Caster,AoE,Splash Caster,6,1801,918,127,1801,952,127,1801,1028,127,1801,1062,127,20,34,32,1,70,66,2.9, AoE,Arts
18,Saga,Vanguard,Skill-DP,Pioneer,6,2205,530,372,2205,555,372,2205,615,372,2205,640,372,0,14,12,2,70,66,1.05, 1,Physical
19,Archetto,Sniper,Anti-Air,Marksman,6,1705,528,172,1705,555,172,1705,618,172,1705,645,172,0,14,12,1,70,66,1, 1,Physical
20,Mountain,Guard,Brawler,Fighter,6,2745,587,357,2745,611,357,2745,632,402,2745,656,402,0,11,9,1,70,66,0.78, 1,Physical
21,Mudrock,Defender,Enmity,Juggernaut,6,3928,882,602,3928,882,631,4428,882,662,4428,882,691,10,36,34,3,70,66,1.6, 1,Physical
22,Rosmontis,Sniper,Aftershock,Flinger,6,1944,688,245,1944,720,245,1944,748,275,1944,780,275,15,25,23,1,70,66,2.1, 1,Physical
23,Blemishine,Defender,Healing,Guardian,6,3242,491,581,3242,517,581,3242,581,601,3242,607,601,10,22,20,3,70,66,1.2, 1,Physical
24,Surtr,Guard,Arts Fighter,N/A,6,2916,672,414,2916,700,414,2916,772,414,2916,800,414,15,21,19,1,70,70,1.25, 1,Arts
25,Eunectes,Defender,Duelist,N/A,6,4468,1007,615,4468,1007,642,4468,1077,685,4468,1077,712,0,33,31,1,70,66,1.6, 1,Physical
26,Thorns,Guard,Ranged,Lord,6,2612,711,402,2612,737,402,2612,741,472,2612,767,472,10,20,18,2,70,70,1.3, 1,Physical
27,Suzuran,Supporter,Slower,Decel Binder,6,1480,521,128,1480,546,128,1480,596,128,1480,621,128,25,16,14,1,70,66,1.9, 1,Arts 
28,Rosa (Poca),Sniper,Heavyweight,Besieger,6,1755,1032,122,1755,1066,122,1755,1142,122,1755,1176,122,0,24,22,1,70,66,2.4, 1,Physical
29,Weedy,Specialist,Pusher,Push Stroker,6,2133,677,394,2273,677,394,2133,722,439,2273,722,439,0,21,19,2,70,66,1.2, Multi (Block #),Physical
30,W,Sniper,AoE,Artilleryman,6,1605,912,133,1605,947,133,1605,1012,133,1605,1047,133,0,29,27,1,70,66,2.8, AoE,Physical
31,Phantom,Specialist,Fast-Redeploy,Executor,6,1645,558,322,1775,580,322,1645,648,322,1775,670,322,0,10,8,1,18,16,0.93, 1,Physical
32,Bagpipe,Vanguard,DP-On-Kill,Charger,6,2484,586,382,2484,611,382,2484,671,382,2484,696,382,0,13,11,1,70,70,1, 1,Physical
33,Ceobe,Caster,ST,Core Caster,6,1565,667,128,1565,694,128,1565,757,128,1565,784,128,20,21,19,1,70,66,1.6, 1,Arts
34,Nian,Defender,Normal,Protector,6,3699,619,726,3699,643,756,4099,619,796,4099,643,826,0,23,21,3,70,70,1.5, 1,Physical
35,Aak,Specialist,Sacrificial Specialist,N/A,6,2034,703,152,2184,703,152,2334,753,152,2484,753,152,10,13,11,1,70,66,1.3, 1,Physical
36,Blaze,Guard,AoE,Centurion,6,2821,765,370,2821,793,370,2821,825,415,2821,853,415,0,24,22,3,70,70,1.2, Multi (Block #),Physical
37,Mostima,Caster,AoE,Splash Caster,6,1831,834,132,1831,868,132,1831,939,132,1831,973,132,20,34,32,1,70,66,2.9, AoE,Arts
38,Magallan,Supporter,Summoner,N/A,6,1103,469,140,1103,492,140,1403,509,140,1403,532,140,20,12,10,1,70,66,1.6, 1,Arts
39,Hellagur,Guard,Enmity,Musha,6,3825,762,334,3825,788,334,4225,832,334,4225,858,334,0,26,24,1,70,66,1.2, 1,Physical
40,Schwarz,Sniper,Close Range,Heavyshooter,6,1833,840,225,1833,870,225,1833,940,225,1833,970,225,0,20,18,1,70,66,1.6, 1,Physical
41,Ch'en,Guard,Dualstrike,Swordmaster,6,2880,610,352,2880,633,352,2880,660,402,2880,683,402,0,23,21,2,70,66,1.3, 1,Physical
42,Skadi,Guard,Duelist,Dreadnought,6,3866,1015,263,3866,1048,263,3866,1095,303,3866,1128,303,0,19,17,1,70,66,1.5, 1,Physical
43,SilverAsh,Guard,Ranged,Lord,6,2560,713,397,2560,739,397,2560,763,447,2560,789,447,10,20,18,2,70,66,1.3, 1,Physical
44,Saria,Defender,Healing,Guardian,6,3150,485,595,3150,485,622,3150,535,655,3150,535,682,10,22,20,3,70,66,1.2, 1,Physical
45,Hoshiguma,Defender,Normal,Protector,6,3850,430,723,3850,430,753,3850,490,783,3850,490,813,0,23,21,3,70,70,1.2, 1,Physical
46,Nightingale,Medic,AoE,Multi-target Medic,6,1705,350,169,1705,350,169,1705,420,169,1705,420,169,5,18,16,1,70,66,2.85, 3,Healing
47,Shining,Medic,ST,Medic,6,1613,530,138,1613,530,163,1613,610,158,1613,610,183,0,20,18,1,70,70,2.85, 1,Healing
48,Angelina,Supporter,Slower,Decel Binder,6,1385,542,120,1385,567,120,1385,617,120,1385,642,120,25,16,14,1,70,70,1.9, 1,Arts
49,Eyjafjalla,Caster,ST,Core Caster,6,1743,645,122,1743,672,122,1743,735,122,1743,762,122,20,21,19,1,70,70,1.6, 1,Arts
50,Ifrit,Caster,Burninator,Blast Caster,6,1680,870,130,1680,905,130,1680,980,130,1680,1015,130,20,34,32,1,70,70,2.9, AoE,Arts
51,Siege,Vanguard,Skill-DP,Pioneer,6,2251,515,384,2251,540,384,2251,575,409,2251,600,409,0,14,12,2,70,66,1.05, 1,Physical
52,Exusiai,Sniper,Anti-Air,Marksman,6,1673,540,161,1673,567,161,1673,630,161,1673,657,161,0,14,12,1,70,70,1, 1,Physical
53,Quercus,Supporter,Buffer,Abjurer,5,1680,463,172,1840,463,172,2080,463,202,2240,463,202,25,12,10,1,70,66,1.6, 1,Arts
54,Kroos the Keen Glint,Sniper,Anti-Air,Marksman,5,1520,502,176,1520,502,176,1520,577,176,1520,577,176,0,15,12,1,80,70,1, 1,Physical
55,Blacknight,Vanguard,Summoner,Tactician,5,1625,442,133,1625,442,133,1625,502,133,1625,502,133,0,14,12,1,70,60,1, 1,Physical
56,Shalem,Defender,Arts Protector,N/A,5,3090,649,550,3090,674,550,3090,729,550,3090,754,550,15,25,23,3,70,66,1.6, 1,Arts
57,Aurora,Defender,Duelist,N/A,5,4027,901,640,4027,901,667,4027,956,695,4027,956,722,0,32,30,1,70,66,1.6, 1,Physical
58,Kjera,Caster,Drone,Mech-Accord,5,1475,294,121,1475,294,121,1475,354,121,1475,354,121,20,23,20,1,80,70,1.3, 1,Arts
59,Nine-Colored Deer,Supporter,Buffer,Abjurer,5,1685,443,179,1685,443,179,2035,478,179,2035,478,179,25,11,11,1,70,70,1.6, 1,Arts
60,Honeyberry,Medic,Wandering Medic,N/A,5,1458,375,107,1458,394,107,1608,410,107,1608,429,107,10,15,13,1,70,66,2.85, 1,Healing
61,Wild Mane,Vanguard,DP-On-Kill,Charger,5,2225,558,372,2225,558,372,2225,628,372,2225,628,372,0,14,11,1,80,60,1, 1,Physical
62,Corroserum,Caster,Burninator,Blast Caster,5,1572,760,120,1572,793,120,1572,850,120,1572,883,120,20,33,31,1,70,66,2.9, AoE,Arts
63,Ashlock,Defender,Fortress,N/A,5,3207,865,541,3207,897,541,3207,915,591,3207,947,591,0,27,25,3,70,66,2.8, AoE,Physical
64,Mulberry,Medic,Wandering Medic,N/A,5,1367,388,99,1367,407,99,1517,423,99,1517,442,99,10,15,13,1,70,66,2.85, 1,Healing
65,Tequila,Guard,Liberator Guard,N/A,5,3757,302,501,3757,302,501,3987,352,501,3987,352,501,15,13,10,3,80,70,1.2, 1,Physical
66,La Pluma,Guard,Reaper Guard,N/A,5,2250,650,452,2250,650,477,2250,725,452,2250,725,477,0,22,20,2,70,60,1.3, 1,Physical
67,Kirara,Specialist,Ambusher,N/A,5,1780,798,340,1780,828,340,1980,858,340,1980,888,340,30,20,18,0,70,66,3.5, AoE, Physical
