,Name,Class,Archetype 1,Archetype 2,Rarity,Base HP,Base ATK,Base DEF,HP (Max Potential),ATK (Max Potential),DEF (Max Potential),HP (Max Trust),ATK (Max Trust),DEF (Max Trust),Full HP,Full ATK,Full DEF,Resistance,Base Cost,Max Cost,Block Count,Base Redeployment Time (s),Max Redeployment Time (s),Attack Interval (s),Target Number,Damage Type
0,Goldenglow,Caster,Drone,Mech-Accord,6,1480,331,125,1480,356,125,1480,391,125,1480,416,125,20,22,20,1,70,70,1.3, 1,Arts
1,Carnelian,Caster,Modal,Phalanx Caster,6,2106,846,228,2106,880,228,2106,926,258,2106,960,258,15,24,22,1,70,66,2, AoE,Arts
2,Passenger,Caster,Chain Caster,N/A,6,1558,689,130,1558,721,130,1558,774,130,1558,806,130,20,33,31,1,70,70,2.3, 1,Physical
3,Dusk,Caster,AoE,Splash Caster,6,1801,918,127,1801,952,127,1801,1028,127,1801,1062,127,20,34,32,1,70,66,2.9, AoE,Arts
4,Ceobe,Caster,ST,Core Caster,6,1565,667,128,1565,694,128,1565,757,128,1565,784,128,20,21,19,1,70,66,1.6, 1,Arts
5,Mostima,Caster,AoE,Splash Caster,6,1831,834,132,1831,868,132,1831,939,132,1831,973,132,20,34,32,1,70,66,2.9, AoE,Arts
6,Eyjafjalla,Caster,ST,Core Caster,6,1743,645,122,1743,672,122,1743,735,122,1743,762,122,20,21,19,1,70,70,1.6, 1,Arts
7,Ifrit,Caster,Burninator,Blast Caster,6,1680,870,130,1680,905,130,1680,980,130,1680,1015,130,20,34,32,1,70,70,2.9, AoE,Arts
8,Kjera,Caster,Drone,Mech-Accord,5,1475,294,121,1475,294,121,1475,354,121,1475,354,121,20,23,20,1,80,70,1.3, 1,Arts
9,Corroserum,Caster,Burninator,Blast Caster,5,1572,760,120,1572,793,120,1572,850,120,1572,883,120,20,33,31,1,70,66,2.9, AoE,Arts
10,Lava the Purgatory,Caster,AoE,Splash Caster,5,1543,798,115,1543,798,115,1543,888,115,1543,888,115,20,35,32,1,80,70,2.9, AoE,Arts
11,Iris,Caster,Charge,Mystic Caster,5,1535,1259,125,1535,1304,125,1535,1389,125,1535,1434,125,20,24,22,1,70,66,3, 1,Arts
12,Mint,Caster,Modal,Phalanx Caster,5,1945,732,196,1945,732,196,1945,807,211,1945,807,211,15,25,22,1,80,70,2, AoE,Arts
13,Pith,Caster,AoE,Splash Caster,5,1655,821,128,1655,821,128,1655,821,128,1655,821,128,20,32,32,1,60,60,2.9, AoE,Arts
14,Tomimi,Caster,ST,Core Caster,5,1920,600,119,1920,600,119,2120,635,119,2120,635,119,20,22,19,1,80,70,1.6, 1,Arts
15,Beeswax,Caster,Modal,Phalanx Caster,5,2005,735,205,2005,765,205,2005,805,225,2005,835,225,15,23,21,1,70,60,2, AoE,Arts
16,Leonhardt,Caster,AoE,Splash Caster,5,1637,773,120,1637,805,120,1637,863,120,1637,895,120,20,33,31,1,70,66,2.9, AoE,Arts
17,Absinthe,Caster,ST,Core Caster,5,1420,633,124,1420,633,124,1420,703,124,1420,703,124,20,22,19,1,80,70,1.6, 1,Arts
18,Leizi,Caster,Chain Caster,N/A,5,1443,635,119,1443,663,119,1443,710,119,1443,738,119,20,32,30,1,70,66,2.3, 1,Arts
19,Nightmare,Caster,ST,Core Caster,5,1510,622,120,1510,648,120,1510,692,120,1510,718,120,20,20,18,1,70,66,1.6, 1,Arts
20,Skyfire,Caster,AoE,Splash Caster,5,1620,784,122,1620,817,122,1620,874,122,1620,907,122,20,33,31,1,70,66,2.9, AoE,Arts
21,Amiya,Caster,ST,Core Caster,5,1480,612,121,1680,642,121,1680,682,121,1880,712,121,20,20,18,1,70,70,1.6, 1,Arts
22,Pudding,Caster,Chain Caster,N/A,4,1326,542,108,1326,565,108,1326,612,108,1326,635,108,20,31,29,1,70,60,2.3, 1,Arts
23,Indigo,Caster,Charge,Mystic Caster,4,1435,1116,117,1435,1152,117,1435,1216,117,1435,1252,117,20,23,21,1,70,66,3, 1,Arts
24,Click,Caster,Drone,Mech-Accord,4,1440,315,120,1440,315,120,1440,375,120,1440,375,120,20,20,18,1,70,60,1.3, 1,Arts
25,Greyy,Caster,AoE,Splash Caster,4,1537,699,130,1537,699,130,1837,699,130,1837,699,130,20,32,30,1,70,60,2.9, AoE,Arts
26,Gitano,Caster,AoE,Splash Caster,4,1598,715,118,1598,742,118,1598,785,118,1598,812,118,20,32,30,1,70,66,2.9, AoE,Arts
27,Haze,Caster,ST,Core Caster,4,1420,583,110,1520,583,110,1420,643,110,1520,643,110,20,19,17,1,70,66,1.6, 1,Arts
28,Reserve Operator - Caster,Caster,ST,Core Caster,3,1050,456,84,1050,456,84,1050,456,84,1050,456,84,15,17,17,1,70,70,1.6, 1,Arts
29,Steward,Caster,ST,Core Caster,3,1100,470,90,1100,493,90,1100,520,90,1100,543,90,15,18,16,1,70,60,1.6, 1,Arts
30,Lava,Caster,AoE,Splash Caster,3,1141,582,95,1141,582,95,1141,642,95,1141,642,95,15,30,28,1,70,66,2.9, AoE,Arts
31,12F,Caster,AoE,Splash Caster,2,1461,432,50,1461,456,50,1461,482,50,1461,506,50,10,24,22,1,70,65,2.9, AoE,Arts
32,Durin,Caster,ST,Core Caster,2,952,340,62,1052,340,62,952,370,62,1052,370,62,10,12,10,1,70,65,1.6, 1,Arts
