,Name,Class,Archetype 1,Archetype 2,Rarity,Base HP,Base ATK,Base DEF,HP (Max Potential),ATK (Max Potential),DEF (Max Potential),HP (Max Trust),ATK (Max Trust),DEF (Max Trust),Full HP,Full ATK,Full DEF,Resistance,Base Cost,Max Cost,Block Count,Base Redeployment Time (s),Max Redeployment Time (s),Attack Interval (s),Target Number,Damage Type
0,Fartooth,Sniper,Long-Range,Deadeye,6,1522,1196,163,1522,1236,163,1522,1296,163,1522,1336,163,0,22,20,1,70,66,2.7, 1,Physical
1,Ch'en the Holungday,Sniper,Boomstick,Spreadshooter,6,2501,773,203,2501,806,203,2501,853,203,2501,886,203,0,32,30,1,70,66,2.3, AoE,Physical
2,Ash,Sniper,Anti-Air,Marksman,6,1689,534,169,1689,561,169,1689,624,169,1689,651,169,0,14,12,1,70,66,1, 1,Physical
3,Archetto,Sniper,Anti-Air,Marksman,6,1705,528,172,1705,555,172,1705,618,172,1705,645,172,0,14,12,1,70,66,1, 1,Physical
4,Rosmontis,Sniper,Aftershock,Flinger,6,1944,688,245,1944,720,245,1944,748,275,1944,780,275,15,25,23,1,70,66,2.1, 1,Physical
5,Rosa (Poca),Sniper,Heavyweight,Besieger,6,1755,1032,122,1755,1066,122,1755,1142,122,1755,1176,122,0,24,22,1,70,66,2.4, 1,Physical
6,W,Sniper,AoE,Artilleryman,6,1605,912,133,1605,947,133,1605,1012,133,1605,1047,133,0,29,27,1,70,66,2.8, AoE,Physical
7,Schwarz,Sniper,Close Range,Heavyshooter,6,1833,840,225,1833,870,225,1833,940,225,1833,970,225,0,20,18,1,70,66,1.6, 1,Physical
8,Exusiai,Sniper,Anti-Air,Marksman,6,1673,540,161,1673,567,161,1673,630,161,1673,657,161,0,14,12,1,70,70,1, 1,Physical
9,Kroos the Keen Glint,Sniper,Anti-Air,Marksman,5,1520,502,176,1520,502,176,1520,577,176,1520,577,176,0,15,12,1,80,70,1, 1,Physical
10,Toddifons,Sniper,Heavyweight,Besieger,5,1667,954,123,1667,988,123,1667,1049,123,1667,1083,123,0,23,21,1,70,66,2.4, 1,Physical
11,Aosta,Sniper,Boomstick,Spreadshooter,5,2376,691,192,2376,717,192,2376,756,192,2376,782,192,0,31,29,1,70,66,2.3, AoE,Physical
