,Name,Class,Archetype 1,Archetype 2,Rarity,Base HP,Base ATK,Base DEF,HP (Max Potential),ATK (Max Potential),DEF (Max Potential),HP (Max Trust),ATK (Max Trust),DEF (Max Trust),Full HP,Full ATK,Full DEF,Resistance,Base Cost,Max Cost,Block Count,Base Redeployment Time (s),Max Redeployment Time (s),Attack Interval (s),Target Number,Damage Type
0,Flametail,Vanguard,Skill-DP,Pioneer,6,2138,526,392,2138,551,392,2138,611,392,2138,636,392,0,14,12,2,70,66,1.05, 1,Physical
1,Saileach,Vanguard,Flagbearer,Standard Bearer,6,1835,546,367,1835,571,367,1835,586,407,1835,611,407,0,12,10,1,70,66,1.3, 1,Physical
2,Saga,Vanguard,Skill-DP,Pioneer,6,2205,530,372,2205,555,372,2205,615,372,2205,640,372,0,14,12,2,70,66,1.05, 1,Physical
3,Bagpipe,Vanguard,DP-On-Kill,Charger,6,2484,586,382,2484,611,382,2484,671,382,2484,696,382,0,13,11,1,70,70,1, 1,Physical
4,Siege,Vanguard,Skill-DP,Pioneer,6,2251,515,384,2251,540,384,2251,575,409,2251,600,409,0,14,12,2,70,66,1.05, 1,Physical
5,Blacknight,Vanguard,Summoner,Tactician,5,1625,442,133,1625,442,133,1625,502,133,1625,502,133,0,14,12,1,70,60,1, 1,Physical
6,Wild Mane,Vanguard,DP-On-Kill,Charger,5,2225,558,372,2225,558,372,2225,628,372,2225,628,372,0,14,11,1,80,60,1, 1,Physical
7,Chiave,Vanguard,Skill-DP,Pioneer,5,1824,522,342,1824,546,342,1824,592,342,1824,616,342,0,13,11,2,70,66,1.05, 1,Physical
8,Elysium,Vanguard,Flagbearer,Standard Bearer,5,1669,533,335,1669,533,358,1669,533,395,1669,533,418,0,11,9,1,70,66,1.3, 1,Physical
9,Reed,Vanguard,DP-On-Kill,Charger,5,2215,562,364,2215,587,364,2215,632,364,2215,657,364,0,12,10,1,70,60,1, 1,Physical
10,Grani,Vanguard,DP-On-Kill,Charger,5,2235,552,367,2235,552,367,2235,552,437,2235,552,437,0,14,11,1,80,70,1, 1,Physical
11,Texas,Vanguard,Skill-DP,Pioneer,5,1950,500,343,1950,524,343,1950,570,343,1950,594,343,0,13,11,2,70,60,1.05, 1,Physical
12,Zima,Vanguard,Skill-DP,Pioneer,5,2150,470,350,2150,470,374,2150,470,420,2150,470,444,0,13,11,2,70,60,1.05, 1,Physical
13,Beanstalk,Vanguard,Summoner,Tactician,4,1569,405,125,1569,405,125,1569,455,125,1569,455,125,0,13,11,1,70,60,1, 1,Physical
14,Myrtle,Vanguard,Flagbearer,Standard Bearer,4,1565,520,300,1565,520,322,1565,520,350,1565,520,372,0,10,8,1,70,66,1.3, 1,Physical
15,Vigna,Vanguard,DP-On-Kill,Charger,4,1845,558,351,1845,582,351,1845,618,351,1845,642,351,0,11,9,1,70,66,1, 1,Physical
16,Scavenger,Vanguard,Skill-DP,Pioneer,4,1835,470,310,1835,495,310,1835,530,310,1835,555,310,0,12,10,2,70,66,1.05, 1,Physical
17,Courier,Vanguard,Skill-DP,Pioneer,4,1985,435,322,1985,435,345,1985,435,382,1985,435,405,0,12,10,2,70,66,1.05, 1,Physical
18,Reserve Operator - Melee,Vanguard,Skill-DP,Pioneer,3,1165,309,278,1165,309,278,1165,309,278,1165,309,278,0,10,10,2,70,70,1.05, 1,Physical
19,Plume,Vanguard,DP-On-Kill,Charger,3,1226,445,279,1226,466,279,1226,495,279,1226,516,279,0,10,8,1,70,60,1, 1,Physical
20,Vanilla,Vanguard,Skill-DP,Pioneer,3,1270,355,240,1270,375,240,1270,405,240,1270,425,240,0,11,9,2,70,60,1.05, 1 ,Physical
21,Fang,Vanguard,Skill-DP,Pioneer,3,1325,325,260,1325,325,280,1325,325,310,1325,325,330,0,11,9,2,70,60,1.05, 1,Physical
22,Yato,Vanguard,Skill-DP,Pioneer,2,1030,232,192,1030,250,192,1030,262,192,1030,280,192,0,7,5,2,70,65,1.05, 1,Physical
